RandomForestClassifier
K =  1 , Total images labelled: 1000 , Images labelled correctly: 619
K =  2 , Total images labelled: 1000 , Images labelled correctly: 648
K =  3 , Total images labelled: 1000 , Images labelled correctly: 724
K =  4 , Total images labelled: 1000 , Images labelled correctly: 771
K =  5 , Total images labelled: 1000 , Images labelled correctly: 796
K =  6 , Total images labelled: 1000 , Images labelled correctly: 815
K =  7 , Total images labelled: 1000 , Images labelled correctly: 819
K =  8 , Total images labelled: 1000 , Images labelled correctly: 833
K =  9 , Total images labelled: 1000 , Images labelled correctly: 834
K =  10 , Total images labelled: 1000 , Images labelled correctly: 856
K =  11 , Total images labelled: 1000 , Images labelled correctly: 858
K =  12 , Total images labelled: 1000 , Images labelled correctly: 876
K =  13 , Total images labelled: 1000 , Images labelled correctly: 877
K =  14 , Total images labelled: 1000 , Images labelled correctly: 871
K =  15 , Total images labelled: 1000 , Images labelled correctly: 865
K =  16 , Total images labelled: 1000 , Images labelled correctly: 875
K =  17 , Total images labelled: 1000 , Images labelled correctly: 874
K =  18 , Total images labelled: 1000 , Images labelled correctly: 885
K =  19 , Total images labelled: 1000 , Images labelled correctly: 866
K =  20 , Total images labelled: 1000 , Images labelled correctly: 891
K =  21 , Total images labelled: 1000 , Images labelled correctly: 888
K =  22 , Total images labelled: 1000 , Images labelled correctly: 884
K =  23 , Total images labelled: 1000 , Images labelled correctly: 900
K =  24 , Total images labelled: 1000 , Images labelled correctly: 880
K =  25 , Total images labelled: 1000 , Images labelled correctly: 889
K =  26 , Total images labelled: 1000 , Images labelled correctly: 892
K =  27 , Total images labelled: 1000 , Images labelled correctly: 897
K =  28 , Total images labelled: 1000 , Images labelled correctly: 899
K =  29 , Total images labelled: 1000 , Images labelled correctly: 895
K =  30 , Total images labelled: 1000 , Images labelled correctly: 898
K =  31 , Total images labelled: 1000 , Images labelled correctly: 907
K =  32 , Total images labelled: 1000 , Images labelled correctly: 893
K =  33 , Total images labelled: 1000 , Images labelled correctly: 900
K =  34 , Total images labelled: 1000 , Images labelled correctly: 902
K =  35 , Total images labelled: 1000 , Images labelled correctly: 898
K =  36 , Total images labelled: 1000 , Images labelled correctly: 903
K =  37 , Total images labelled: 1000 , Images labelled correctly: 898
K =  38 , Total images labelled: 1000 , Images labelled correctly: 907
K =  39 , Total images labelled: 1000 , Images labelled correctly: 906
K =  40 , Total images labelled: 1000 , Images labelled correctly: 901
K =  41 , Total images labelled: 1000 , Images labelled correctly: 906
K =  42 , Total images labelled: 1000 , Images labelled correctly: 911
K =  43 , Total images labelled: 1000 , Images labelled correctly: 916
K =  44 , Total images labelled: 1000 , Images labelled correctly: 901
K =  45 , Total images labelled: 1000 , Images labelled correctly: 902
K =  46 , Total images labelled: 1000 , Images labelled correctly: 909
K =  47 , Total images labelled: 1000 , Images labelled correctly: 914
K =  48 , Total images labelled: 1000 , Images labelled correctly: 904
K =  49 , Total images labelled: 1000 , Images labelled correctly: 908
K =  50 , Total images labelled: 1000 , Images labelled correctly: 907
K =  51 , Total images labelled: 1000 , Images labelled correctly: 907
K =  52 , Total images labelled: 1000 , Images labelled correctly: 900
K =  53 , Total images labelled: 1000 , Images labelled correctly: 913
K =  54 , Total images labelled: 1000 , Images labelled correctly: 911
K =  55 , Total images labelled: 1000 , Images labelled correctly: 910
